week	country	total_views	avg_views	views_above_avg	pct_above_avg
2025-06-30	United States	7428	97.12612612612612	7330.873873873874	7547.787774788981
2025-06-30	Canada	923	97.12612612612612	825.8738738738739	850.3107318430573
2025-06-30	Australia	733	97.12612612612612	635.8738738738739	654.6888043780725
2025-06-30	United Kingdom	276	97.12612612612612	178.8738738738739	184.16658937018832
2025-06-23	United States	8778	117.55357142857143	8660.44642857143	7367.233783989063
2025-06-23	Canada	1099	117.55357142857143	981.4464285714286	834.8929059699225
2025-06-23	Australia	951	117.55357142857143	833.4464285714286	708.9928603979948
2025-06-23	United Kingdom	461	117.55357142857143	343.44642857142856	292.1616284368829
2025-06-16	United States	4955	72.85714285714286	4882.142857142857	6700.980392156862
2025-06-16	Canada	627	72.85714285714286	554.1428571428571	760.5882352941176
2025-06-16	Australia	528	72.85714285714286	455.1428571428571	624.7058823529411
