user_pseudo_id,total_visits,total_sessions,first_visit,last_visit,days_between_first_last
944091976.1761870709,3,14,2025-11-02,2025-11-05,3
1000774339.1760414153,3,10,2025-11-02,2025-11-06,4
646488715.1762208659,3,10,2025-11-03,2025-11-05,2
2037151109.1762201371,3,10,2025-11-03,2025-11-05,2
376198988.1762278616,3,10,2025-11-04,2025-11-06,2
551047741.1761905472,3,10,2025-11-02,2025-11-04,2
1057877658.1761706858,3,9,2025-11-03,2025-11-05,2
485066531.1762236583,3,9,2025-11-03,2025-11-05,2
1141521932.1761060683,3,8,2025-11-03,2025-11-06,3
766552946.1762202550,3,8,2025-11-03,2025-11-05,2
36426384.1762134587,3,8,2025-11-02,2025-11-05,3
666781537.1760041205,3,8,2025-11-02,2025-11-06,4
2120916331.1759925439,3,8,2025-11-03,2025-11-05,2
1235272698.1762114470,3,8,2025-11-02,2025-11-05,3
204173330.1762236581,3,8,2025-11-03,2025-11-06,3
651583010.1761610777,3,8,2025-11-02,2025-11-04,2
1840756023.1762301021,3,7,2025-11-04,2025-11-06,2
698152768.1762256922,3,7,2025-11-04,2025-11-06,2
2147478505.1762223617,3,7,2025-11-03,2025-11-05,2
1844818741.1762174389,3,7,2025-11-03,2025-11-06,3
786586833.1762097109,3,7,2025-11-02,2025-11-06,4
1909383660.1761706449,3,7,2025-11-02,2025-11-04,2
373667234.1759163344,3,7,2025-11-02,2025-11-04,2
1345842891.1744934651,3,7,2025-11-02,2025-11-04,2
2053062714.1762051825,3,7,2025-11-02,2025-11-04,2
1829207377.1762108726,3,7,2025-11-02,2025-11-04,2
1294860479.1761516350,3,7,2025-11-02,2025-11-04,2
889595736.1758574127,3,6,2025-11-04,2025-11-06,2
1996623730.1760005556,3,6,2025-11-04,2025-11-06,2
165251350.1761065632,3,6,2025-11-02,2025-11-05,3
752581554.1762302147,3,6,2025-11-04,2025-11-06,2
1926255951.1762055417,3,6,2025-11-02,2025-11-05,3
2004335909.1762218502,3,6,2025-11-03,2025-11-05,2
305367539.1761135774,3,6,2025-11-04,2025-11-06,2
104393959.1762211526,3,6,2025-11-03,2025-11-06,3
1020560882.1760989769,3,6,2025-11-02,2025-11-04,2
1050054144.1761530558,3,6,2025-11-02,2025-11-04,2
533239225.1761907964,3,6,2025-11-02,2025-11-04,2
117709386.1762175485,3,5,2025-11-03,2025-11-06,3
930807086.1761010589,3,5,2025-11-02,2025-11-06,4
639997146.1761959060,3,5,2025-11-02,2025-11-05,3
284610683.1761275759,3,5,2025-11-02,2025-11-05,3
807019114.1761000454,3,5,2025-11-02,2025-11-06,4
1977022295.1762294560,3,5,2025-11-04,2025-11-06,2
1229676218.1762053310,3,5,2025-11-02,2025-11-06,4
1871156379.1742600956,3,5,2025-11-02,2025-11-05,3
2020750407.1756062342,3,5,2025-11-02,2025-11-06,4
2050054232.1760832354,3,5,2025-11-04,2025-11-06,2
315746511.1762308979,3,5,2025-11-04,2025-11-06,2
1403227.1762201519,3,5,2025-11-03,2025-11-05,2
803412122.1762199806,3,5,2025-11-03,2025-11-05,2
1851463777.1761762910,3,5,2025-11-02,2025-11-05,3
1248778130.1762216525,3,5,2025-11-03,2025-11-05,2
348770430.1759707594,3,5,2025-11-03,2025-11-05,2
334757329.1761691357,3,5,2025-11-02,2025-11-06,4
855488686.1762115642,3,5,2025-11-02,2025-11-04,2
249563959.1762132372,3,5,2025-11-02,2025-11-04,2
911030084.1761050750,3,5,2025-11-02,2025-11-04,2
1612786950.1759588404,3,4,2025-11-02,2025-11-06,4
766133798.1762282425,3,4,2025-11-04,2025-11-06,2
1394686185.1762304705,3,4,2025-11-04,2025-11-06,2
1320663596.1762304698,3,4,2025-11-04,2025-11-06,2
1131876091.1761773022,3,4,2025-11-02,2025-11-05,3
1145006388.1761879357,3,4,2025-11-02,2025-11-05,3
700978082.1757895926,3,4,2025-11-02,2025-11-05,3
1725244418.1762016883,3,4,2025-11-02,2025-11-05,3
1268126936.1762100360,3,4,2025-11-02,2025-11-05,3
501372271.1762260790,3,4,2025-11-04,2025-11-06,2
