week	country	total_views
2025-06-30	Samoa	1
2025-06-30	Saudi Arabia	31
2025-06-30	Seychelles	1
2025-06-30	Singapore	25
2025-06-30	Slovakia	3
2025-06-30	Slovenia	1
2025-06-30	South Africa	85
2025-06-30	South Korea	9
2025-06-30	Spain	23
2025-06-30	Sri Lanka	2
2025-06-30	Sweden	21
2025-06-30	Switzerland	15
2025-06-30	Taiwan	2
2025-06-30	Thailand	8
2025-06-30	Trinidad & Tobago	4
2025-06-30	Tunisia	6
2025-06-30	Türkiye	6
2025-06-30	U.S. Virgin Islands	2
2025-06-30	United Arab Emirates	26
2025-06-30	United Kingdom	276
2025-06-30	United States	7428
2025-06-30	Uruguay	3
2025-06-30	Uzbekistan	1
2025-06-30	Venezuela	16
2025-06-30	Vietnam	3
2025-06-30	Zambia	1
2025-06-30	Zimbabwe	3
2025-07-07	Algeria	2
2025-07-07	Argentina	23
2025-07-07	Armenia	1
2025-07-07	Aruba	1
2025-07-07	Australia	657
2025-07-07	Austria	8
2025-07-07	Bahamas	1
2025-07-07	Bahrain	16
2025-07-07	Bangladesh	2
2025-07-07	Barbados	1
2025-07-07	Belgium	10
2025-07-07	Belize	2
2025-07-07	Bermuda	1
2025-07-07	Botswana	2
2025-07-07	Brazil	36
2025-07-07	Bulgaria	5
2025-07-07	Cameroon	1
2025-07-07	Canada	980
2025-07-07	Caribbean Netherlands	4
2025-07-07	Chile	46
2025-07-07	China	2
2025-07-07	Colombia	15
2025-07-07	Costa Rica	10
2025-07-07	Croatia	11
2025-07-07	Cyprus	3
2025-07-07	Czechia	3
2025-07-07	Denmark	13
2025-07-07	Dominican Republic	11
2025-07-07	Ecuador	6
2025-07-07	Egypt	4
2025-07-07	Estonia	4
2025-07-07	Fiji	1
2025-07-07	Finland	8
2025-07-07	France	29
2025-07-07	Georgia	1
2025-07-07	Germany	105
2025-07-07	Ghana	2
2025-07-07	Greece	10
2025-07-07	Guam	3
2025-07-07	Guatemala	7
2025-07-07	Hungary	5
2025-07-07	Iceland	2
2025-07-07	India	108
2025-07-07	Indonesia	18
2025-07-07	Iran	3
2025-07-07	Iraq	2
2025-07-07	Ireland	49
2025-07-07	Israel	50
2025-07-07	Italy	24
2025-07-07	Jamaica	1
2025-07-07	Japan	27
2025-07-07	Jordan	1
2025-07-07	Kazakhstan	1
2025-07-07	Kenya	5
2025-07-07	Kuwait	4
2025-07-07	Laos	1
2025-07-07	Latvia	4
2025-07-07	Lebanon	7
2025-07-07	Lithuania	5
2025-07-07	Malaysia	8
2025-07-07	Maldives	2
2025-07-07	Malta	1
2025-07-07	Martinique	1
2025-07-07	Mexico	98
2025-07-07	Moldova	1
2025-07-07	Morocco	4
2025-07-07	Netherlands	33
2025-07-07	New Zealand	117
2025-07-07	Nicaragua	1
2025-07-07	Nigeria	6
2025-07-07	Norway	5
2025-07-07	Oman	1
2025-07-07	Pakistan	19
2025-07-07	Palestine	1
2025-07-07	Panama	7
2025-07-07	Peru	7
2025-07-07	Philippines	38
2025-07-07	Poland	14
2025-07-07	Portugal	15
2025-07-07	Puerto Rico	17
2025-07-07	Qatar	5
2025-07-07	Romania	13
2025-07-07	Saudi Arabia	27
2025-07-07	Seychelles	1
2025-07-07	Singapore	16
2025-07-07	Sint Maarten	1
2025-07-07	Slovakia	12
2025-07-07	Slovenia	1
2025-07-07	South Africa	70
2025-07-07	South Korea	15
2025-07-07	Spain	29
2025-07-07	Sri Lanka	2
2025-07-07	St. Lucia	1
2025-07-07	Sweden	24
2025-07-07	Switzerland	14
2025-07-07	Syria	1
2025-07-07	Taiwan	1
2025-07-07	Tanzania	2
2025-07-07	Thailand	8
2025-07-07	Trinidad & Tobago	5
2025-07-07	Tunisia	2
2025-07-07	Türkiye	10
2025-07-07	United Arab Emirates	35
2025-07-07	United Kingdom	350
2025-07-07	United States	7207
2025-07-07	Uruguay	5
2025-07-07	Venezuela	15
2025-07-07	Vietnam	4
2025-07-07	Zimbabwe	2
2025-07-14	Algeria	3
2025-07-14	Argentina	24
2025-07-14	Armenia	1
2025-07-14	Australia	849
2025-07-14	Austria	11
2025-07-14	Azerbaijan	1
2025-07-14	Bahamas	1
2025-07-14	Bahrain	8
2025-07-14	Bangladesh	1
2025-07-14	Barbados	3
2025-07-14	Belgium	14
2025-07-14	Belize	2
2025-07-14	Bermuda	1
2025-07-14	Brazil	41
2025-07-14	Brunei	2
2025-07-14	Bulgaria	5
2025-07-14	Canada	1182
2025-07-14	Cayman Islands	1
2025-07-14	Chile	30
2025-07-14	China	2
2025-07-14	Colombia	13
2025-07-14	Costa Rica	12
2025-07-14	Croatia	7
2025-07-14	Curaçao	1
2025-07-14	Cyprus	9
2025-07-14	Czechia	4
2025-07-14	Denmark	11
2025-07-14	Dominica	1
2025-07-14	Dominican Republic	17
2025-07-14	Ecuador	16
2025-07-14	Egypt	8
2025-07-14	El Salvador	3
2025-07-14	Estonia	3
2025-07-14	Finland	6
2025-07-14	France	45
2025-07-14	Georgia	1
2025-07-14	Germany	107
2025-07-14	Greece	9
2025-07-14	Grenada	1
2025-07-14	Guadeloupe	2
2025-07-14	Guam	8
2025-07-14	Guatemala	7
2025-07-14	Haiti	3
2025-07-14	Honduras	5
2025-07-14	Hong Kong	1
2025-07-14	Hungary	10
2025-07-14	Iceland	1
2025-07-14	India	94
2025-07-14	Indonesia	22
2025-07-14	Iran	5
2025-07-14	Iraq	1
2025-07-14	Ireland	55
2025-07-14	Israel	50
2025-07-14	Italy	34
2025-07-14	Jamaica	3
2025-07-14	Japan	22
2025-07-14	Jordan	5
2025-07-14	Kenya	3
2025-07-14	Kuwait	9
2025-07-14	Latvia	3
2025-07-14	Lebanon	11
2025-07-14	Lithuania	2
2025-07-14	Luxembourg	1
2025-07-14	Malaysia	19
2025-07-14	Maldives	1
2025-07-14	Malta	1
2025-07-14	Mauritius	1
2025-07-14	Mexico	150
2025-07-14	Morocco	4
2025-07-14	Netherlands	36
2025-07-14	New Zealand	91
2025-07-14	Nicaragua	3
2025-07-14	Nigeria	4
2025-07-14	Norway	1
2025-07-14	Oman	1
2025-07-14	Pakistan	20
2025-07-14	Panama	6
2025-07-14	Paraguay	3
2025-07-14	Peru	16
2025-07-14	Philippines	47
2025-07-14	Poland	18
2025-07-14	Portugal	15
2025-07-14	Puerto Rico	27
2025-07-14	Qatar	5
2025-07-14	Romania	9
2025-07-14	Russia	2
2025-07-14	Rwanda	1
2025-07-14	Saudi Arabia	41
2025-07-14	Singapore	31
2025-07-14	Sint Maarten	1
2025-07-14	Slovakia	5
2025-07-14	Slovenia	2
2025-07-14	South Africa	86
2025-07-14	South Korea	15
2025-07-14	Spain	39
2025-07-14	Sri Lanka	2
2025-07-14	St. Lucia	1
2025-07-14	Sweden	30
2025-07-14	Switzerland	15
2025-07-14	Taiwan	2
2025-07-14	Thailand	6
2025-07-14	Trinidad & Tobago	8
2025-07-14	Tunisia	6
2025-07-14	Turkmenistan	1
2025-07-14	Türkiye	13
2025-07-14	United Arab Emirates	37
2025-07-14	United Kingdom	370
2025-07-14	United States	9769
2025-07-14	Venezuela	20
2025-07-14	Vietnam	1
2025-07-14	Zambia	2
2025-07-21	Algeria	2
2025-07-21	Argentina	18
2025-07-21	Australia	632
2025-07-21	Austria	9
2025-07-21	Azerbaijan	2
2025-07-21	Bahamas	1
2025-07-21	Bahrain	6
2025-07-21	Bangladesh	1
2025-07-21	Barbados	3
2025-07-21	Belgium	12
2025-07-21	Botswana	1
2025-07-21	Brazil	36
2025-07-21	Brunei	1
2025-07-21	Bulgaria	1
2025-07-21	Canada	937
2025-07-21	Caribbean Netherlands	2
2025-07-21	Chile	15
2025-07-21	Colombia	24
2025-07-21	Costa Rica	7
2025-07-21	Croatia	11
2025-07-21	Cuba	1
2025-07-21	Curaçao	1
2025-07-21	Cyprus	7
2025-07-21	Czechia	5
2025-07-21	Côte d’Ivoire	1
2025-07-21	Denmark	6
2025-07-21	Dominican Republic	12
2025-07-21	Ecuador	9
2025-07-21	Egypt	7
2025-07-21	El Salvador	5
2025-07-21	Estonia	6
2025-07-21	Finland	3
2025-07-21	France	34
2025-07-21	French Polynesia	3
2025-07-21	Germany	78
2025-07-21	Ghana	1
2025-07-21	Greece	14
2025-07-21	Guadeloupe	1
2025-07-21	Guam	2
2025-07-21	Guatemala	7
2025-07-21	Honduras	3
2025-07-21	Hong Kong	6
2025-07-21	Hungary	2
2025-07-21	Iceland	2
2025-07-21	India	122
2025-07-21	Indonesia	39
2025-07-21	Iran	4
2025-07-21	Ireland	57
2025-07-21	Israel	49
2025-07-21	Italy	22
2025-07-21	Jamaica	4
2025-07-21	Japan	17
2025-07-21	Jordan	13
2025-07-21	Kazakhstan	1
2025-07-21	Kenya	8
2025-07-21	Kuwait	10
2025-07-21	Latvia	1
2025-07-21	Lebanon	7
2025-07-21	Liechtenstein	1
2025-07-21	Lithuania	2
2025-07-21	Malawi	3
2025-07-21	Malaysia	26
2025-07-21	Malta	3
2025-07-21	Mexico	138
2025-07-21	Morocco	5
2025-07-21	Nepal	1
2025-07-21	Netherlands	53
2025-07-21	New Zealand	88
2025-07-21	Nigeria	6
2025-07-21	Norway	7
2025-07-21	Oman	1
2025-07-21	Pakistan	14
2025-07-21	Palestine	2
2025-07-21	Panama	10
2025-07-21	Paraguay	2
2025-07-21	Peru	13
2025-07-21	Philippines	57
2025-07-21	Poland	17
2025-07-21	Portugal	17
2025-07-21	Puerto Rico	23
2025-07-21	Qatar	9
2025-07-21	Romania	8
2025-07-21	Russia	4
2025-07-21	Saudi Arabia	44
2025-07-21	Singapore	19
2025-07-21	Slovakia	4
2025-07-21	Slovenia	4
2025-07-21	South Africa	63
2025-07-21	South Korea	7
2025-07-21	Spain	31
2025-07-21	Sri Lanka	3
2025-07-21	Sweden	28
2025-07-21	Switzerland	11
2025-07-21	Taiwan	2
2025-07-21	Tanzania	1
2025-07-21	Thailand	10
2025-07-21	Trinidad & Tobago	4
2025-07-21	Türkiye	15
2025-07-21	United Arab Emirates	31
2025-07-21	United Kingdom	265
2025-07-21	United States	7198
2025-07-21	Uruguay	8
2025-07-21	Uzbekistan	1
2025-07-21	Venezuela	11
2025-07-21	Vietnam	5
2025-07-21	Zambia	1
2025-07-21	Zimbabwe	1
2025-07-28	Algeria	3
2025-07-28	Argentina	40
2025-07-28	Australia	631
2025-07-28	Austria	16
2025-07-28	Azerbaijan	1
2025-07-28	Bahamas	3
2025-07-28	Bahrain	3
2025-07-28	Barbados	4
2025-07-28	Belgium	7
2025-07-28	Bermuda	1
2025-07-28	Bolivia	2
2025-07-28	Botswana	1
2025-07-28	Brazil	61
2025-07-28	British Virgin Islands	1
2025-07-28	Brunei	5
2025-07-28	Bulgaria	2
2025-07-28	Canada	1025
2025-07-28	Chile	26
2025-07-28	China	1
2025-07-28	Colombia	25
2025-07-28	Costa Rica	11
2025-07-28	Croatia	2
2025-07-28	Cyprus	6
2025-07-28	Czechia	14
2025-07-28	Denmark	19
2025-07-28	Dominican Republic	16
2025-07-28	Ecuador	14
2025-07-28	Egypt	3
2025-07-28	Estonia	5
2025-07-28	Finland	6
2025-07-28	France	48
2025-07-28	French Polynesia	1
2025-07-28	Georgia	1
2025-07-28	Germany	130
2025-07-28	Ghana	1
2025-07-28	Greece	13
2025-07-28	Guam	3
2025-07-28	Guatemala	4
2025-07-28	Haiti	1
2025-07-28	Honduras	4
2025-07-28	Hong Kong	4
2025-07-28	Hungary	13
2025-07-28	Iceland	2
2025-07-28	India	98
2025-07-28	Indonesia	40
2025-07-28	Iran	6
2025-07-28	Iraq	4
2025-07-28	Ireland	55
2025-07-28	Israel	69
2025-07-28	Italy	31
2025-07-28	Jamaica	3
2025-07-28	Japan	19
2025-07-28	Jordan	8
2025-07-28	Kazakhstan	4
2025-07-28	Kenya	5
2025-07-28	Kuwait	17
2025-07-28	Latvia	1
2025-07-28	Lebanon	14
2025-07-28	Libya	1
2025-07-28	Lithuania	1
2025-07-28	Luxembourg	2
2025-07-28	Malaysia	16
2025-07-28	Maldives	2
2025-07-28	Malta	2
2025-07-28	Mauritius	1
2025-07-28	Mexico	139
2025-07-28	Morocco	4
2025-07-28	Myanmar (Burma)	1
2025-07-28	Netherlands	57
2025-07-28	New Zealand	94
2025-07-28	Nigeria	3
2025-07-28	Niue	1
2025-07-28	Norway	7
2025-07-28	Oman	3
2025-07-28	Pakistan	19
2025-07-28	Palestine	1
2025-07-28	Panama	5
2025-07-28	Paraguay	3
2025-07-28	Peru	14
2025-07-28	Philippines	39
2025-07-28	Poland	33
2025-07-28	Portugal	13
2025-07-28	Puerto Rico	20
2025-07-28	Qatar	4
2025-07-28	Romania	6
2025-07-28	Russia	1
2025-07-28	Rwanda	1
2025-07-28	Réunion	2
2025-07-28	Samoa	1
2025-07-28	Saudi Arabia	56
2025-07-28	Singapore	4
2025-07-28	Slovakia	4
2025-07-28	Slovenia	2
2025-07-28	South Africa	80
2025-07-28	South Korea	10
2025-07-28	Spain	42
2025-07-28	Sri Lanka	4
2025-07-28	St. Lucia	2
2025-07-28	Sweden	33
2025-07-28	Switzerland	14
2025-07-28	Syria	1
2025-07-28	Taiwan	1
2025-07-28	Tajikistan	2
2025-07-28	Thailand	7
2025-07-28	Trinidad & Tobago	3
2025-07-28	Tunisia	3
2025-07-28	Turks & Caicos Islands	1
2025-07-28	Türkiye	20
2025-07-28	United Arab Emirates	26
2025-07-28	United Kingdom	324
2025-07-28	United States	8558
2025-07-28	Uruguay	4
2025-07-28	Uzbekistan	2
2025-07-28	Venezuela	24
2025-07-28	Vietnam	1
2025-07-28	Zambia	1
2025-07-28	Zimbabwe	1
2025-08-04	Algeria	2
2025-08-04	American Samoa	2
2025-08-04	Argentina	46
2025-08-04	Aruba	1
2025-08-04	Australia	529
2025-08-04	Austria	12
2025-08-04	Bahamas	4
2025-08-04	Bahrain	9
2025-08-04	Bangladesh	1
2025-08-04	Barbados	1
2025-08-04	Belgium	11
2025-08-04	Bolivia	2
2025-08-04	Brazil	49
2025-08-04	Brunei	2
2025-08-04	Bulgaria	5
2025-08-04	Canada	1137
2025-08-04	Cayman Islands	2
2025-08-04	Chile	31
2025-08-04	Colombia	30
2025-08-04	Costa Rica	13
2025-08-04	Croatia	5
2025-08-04	Cyprus	6
2025-08-04	Czechia	7
2025-08-04	Denmark	10
2025-08-04	Dominican Republic	35
2025-08-04	Ecuador	5
2025-08-04	Egypt	9
2025-08-04	El Salvador	10
2025-08-04	Estonia	2
2025-08-04	Eswatini	2
2025-08-04	Fiji	2
2025-08-04	Finland	1
2025-08-04	France	55
2025-08-04	French Polynesia	2
2025-08-04	Georgia	3
2025-08-04	Germany	116
2025-08-04	Ghana	3
2025-08-04	Greece	12
2025-08-04	Guam	5
2025-08-04	Guatemala	13
2025-08-04	Honduras	1
2025-08-04	Hong Kong	1
2025-08-04	Hungary	5
2025-08-04	Iceland	1
2025-08-04	India	133
2025-08-04	Indonesia	39
2025-08-04	Iran	11
2025-08-04	Iraq	5
2025-08-04	Ireland	66
2025-08-04	Israel	62
2025-08-04	Italy	19
2025-08-04	Jamaica	7
2025-08-04	Japan	19
2025-08-04	Jordan	6
2025-08-04	Kenya	3
2025-08-04	Kuwait	22
2025-08-04	Laos	1
2025-08-04	Lebanon	7
2025-08-04	Lesotho	1
2025-08-04	Libya	2
2025-08-04	Lithuania	3
2025-08-04	Luxembourg	2
2025-08-04	Malaysia	16
2025-08-04	Malta	3
2025-08-04	Mauritius	5
2025-08-04	Mexico	140
2025-08-04	Moldova	1
2025-08-04	Morocco	4
2025-08-04	Namibia	3
2025-08-04	Netherlands	34
2025-08-04	New Zealand	75
2025-08-04	Nigeria	3
2025-08-04	Norway	16
2025-08-04	Oman	8
2025-08-04	Pakistan	17
2025-08-04	Palestine	3
2025-08-04	Panama	8
2025-08-04	Paraguay	1
2025-08-04	Peru	14
2025-08-04	Philippines	45
2025-08-04	Poland	16
2025-08-04	Portugal	10
2025-08-04	Puerto Rico	29
2025-08-04	Qatar	5
2025-08-04	Romania	7
2025-08-04	Rwanda	1
